,uid,dt,lat,lon,loc,region,x,y
4197,22,2010-10-14 00:55:35+00:00,40.7480295838,-74.0071158496,2061845,12,0.1422345428554352,0.3631766848721003
4198,22,2010-10-13 04:49:27+00:00,40.7258684255,-73.983424902,28593,178,2.143759443856013,2.824147314574476
4199,22,2010-10-12 23:58:08+00:00,40.7277736384,-73.985715066,112016,165,1.9502243499251608,2.6125760296763416
4214,22,2010-09-21 14:01:10+00:00,40.7259011857,-73.9847670972,721470,177,2.0303660342825336,2.8205093397940897
4215,22,2010-09-21 12:47:57+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4222,22,2010-09-17 00:43:04+00:00,40.7480295838,-74.0071158496,2061845,12,0.1422345428554352,0.3631766848721003
4224,22,2010-09-14 01:57:33+00:00,40.7331512078,-74.0058752721,739981,121,0.2470622794409719,2.015403930079851
4225,22,2010-09-14 01:21:50+00:00,40.7334206534,-74.0044514831,161677,109,0.3673333725783523,1.985482331365104
4226,22,2010-09-12 00:33:22+00:00,40.7304645196,-74.0021956229,172672,134,0.5579179153010145,2.313757236045448
4234,22,2010-08-28 15:56:59+00:00,40.7302167089,-74.0008718677,1140908,135,0.6697472580771283,2.3412762919385552
4236,22,2010-08-22 17:15:44+00:00,40.7233783184,-73.9896653435,276014,187,1.6166096972473627,3.10067019421983
4237,22,2010-08-19 23:24:19+00:00,40.748165393,-74.007330699,2062169,12,0.1240892327051409,0.3480952033182946
4238,22,2010-08-19 23:20:42+00:00,40.7480295838,-74.0071158496,2061845,12,0.1422345428554352,0.3631766848721003
4243,22,2010-07-31 20:47:35+00:00,40.750613794,-73.993434906,11875,6,1.2976053181993767,0.0762025567859286
4245,22,2010-07-26 22:40:46+00:00,40.735844095,-73.9903879166,106840,103,1.5552721603469792,1.7163620932436423
4259,22,2010-07-06 20:02:09+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4279,22,2010-06-27 04:18:13+00:00,40.7332810262,-73.9997256792,207035,111,0.7665390079135875,2.0009877584167386
4282,22,2010-06-24 22:25:14+00:00,40.7220387371,-74.0042281151,210577,193,0.3862677993425469,3.249428757782968
4285,22,2010-06-18 02:39:09+00:00,40.7431114894,-74.0057301521,294127,49,0.2592824126443439,0.90932611652652
4289,22,2010-06-15 22:18:40+00:00,40.7215941717,-73.9887228773,543765,200,1.696280145607107,3.2987970940392985
4294,22,2010-06-11 21:28:45+00:00,40.72532659,-74.0017755,463647,170,0.5934542751714029,2.8843173924485903
4307,22,2010-05-29 04:18:23+00:00,40.7180062822,-73.9897007162,215957,223,1.613750931312299,3.697226826121052
4308,22,2010-05-29 00:43:56+00:00,40.7211888643,-73.994469807,102764,197,1.2107396912754222,3.34380588359608
4310,22,2010-05-23 19:14:16+00:00,40.7464809327,-73.9825093343,83043,34,2.2204237524606274,0.535152880730525
4311,22,2010-05-23 17:20:53+00:00,40.74737828,-73.98871755,325992,32,1.6960753368772683,0.4355033429605185
4312,22,2010-05-23 17:14:09+00:00,40.7458101407,-73.9882206917,60450,44,1.7380786272949449,0.6096436644314888
4313,22,2010-05-22 22:01:33+00:00,40.74752151,-73.98821431,933174,32,1.738573042026421,0.4195977904665006
4315,22,2010-05-22 05:07:02+00:00,40.7327569615,-73.9858830793,72948,129,1.9358860938494395,2.0591844887625723
4317,22,2010-05-18 04:05:04+00:00,40.7504689667,-73.9987564,12819,4,0.8481989800964788,0.0922854965380214
4318,22,2010-05-17 22:41:30+00:00,40.7458426539,-73.9882743359,28125,44,1.733547123631646,0.6060331061453923
4320,22,2010-05-15 22:08:19+00:00,40.7230030099,-73.9890840986,83203,188,1.6657260830603762,3.142347663166264
4324,22,2010-05-13 21:13:39+00:00,40.7423961659,-74.0075433254,15079,48,0.106141126079978,0.9887620321314708
4325,22,2010-05-13 21:00:53+00:00,40.7409248514,-74.0080475807,13116,60,0.0635521650339129,1.152149915010029
4326,22,2010-05-13 19:46:34+00:00,40.7405398781,-74.0057506218,58496,61,0.2575634408846093,1.1949007764366515
4327,22,2010-05-13 03:34:36+00:00,40.7258684255,-73.983424902,28593,178,2.143759443856013,2.824147314574476
4330,22,2010-05-11 19:42:15+00:00,40.72343965,-73.9886553,627369,188,1.7019426226821526,3.093859408023208
4334,22,2010-05-10 00:32:24+00:00,40.72657495,-73.98924124,1093863,164,1.6523614255113213,2.745688744036036
4337,22,2010-05-07 21:27:43+00:00,40.7377301171,-73.9865899086,13076,93,1.8760376298118095,1.506921557620797
4338,22,2010-05-07 20:14:37+00:00,40.737933349,-73.9859247208,898205,93,1.9322187014383436,1.484352890094075
4339,22,2010-05-07 19:57:45+00:00,40.7422010764,-73.9879953861,17710,68,1.7572023766903009,1.010426512371388
4342,22,2010-05-06 22:58:22+00:00,40.7444201864,-73.9872121811,95281,44,1.823292952742505,0.7639966778430639
4343,22,2010-05-06 22:57:53+00:00,40.7445908841,-73.9894008636,785336,44,1.638434083487008,0.7450408736231229
4344,22,2010-05-06 22:57:19+00:00,40.7457202429,-73.9884921714,830720,44,1.7151524177685713,0.61962672495234
4346,22,2010-05-05 01:56:12+00:00,40.7152481079,-73.9840545654,689248,238,2.0908960040236506,4.00351776438572
4347,22,2010-05-04 19:45:41+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4371,22,2010-04-30 01:26:04+00:00,40.72699451,-73.98449742,538600,166,2.0531155092409343,2.699097180577732
4372,22,2010-04-29 22:59:28+00:00,40.7243507167,-73.9928707667,1035207,174,1.3457768766681977,2.9926867494061797
4373,22,2010-04-29 22:30:09+00:00,40.7243054667,-73.9931995667,29067,174,1.3179991921693222,2.997711697795717
4374,22,2010-04-29 02:02:22+00:00,40.7293401607,-73.9917290211,458830,151,1.442129229416464,2.438615819860557
4376,22,2010-04-27 19:49:17+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4425,22,2010-04-08 18:47:52+00:00,40.737933349,-73.9859247208,898205,93,1.9322187014383436,1.484352890094075
4426,22,2010-04-08 18:26:25+00:00,40.74748903,-73.98817884,898057,32,1.7415695229990884,0.4232046629801451
4427,22,2010-04-06 19:48:17+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4428,22,2010-04-06 19:47:50+00:00,40.7236061333,-73.9882734833,22479,188,1.734196419716989,3.0753716760205574
4429,22,2010-04-05 21:06:26+00:00,40.734413284,-73.9889395237,787624,116,1.6776541221398842,1.875251925886283
4443,22,2010-04-01 23:57:36+00:00,40.7456946333,-74.0063953333,13211,36,0.2030926878890047,0.6224706453168751
4444,22,2010-04-01 23:56:55+00:00,40.745225223,-74.0057344027,482501,37,0.2589152056502746,0.6745981855332173
4447,22,2010-03-30 19:52:32+00:00,40.7235104693,-73.9884352684,12579,188,1.7205303613885303,3.0859950262612768
4457,22,2010-03-25 03:50:25+00:00,40.7299255408,-73.9808499813,196211,143,2.361152564300796,2.373610129190576
4458,22,2010-03-25 01:25:51+00:00,40.7293401607,-73.9917290211,458830,151,1.442129229416464,2.438615819860557
4546,22,2010-03-12 02:36:24+00:00,40.7266717224,-73.9923530566,326100,162,1.389467199998447,2.734942301837294
4547,22,2010-03-12 00:19:03+00:00,40.7291125115,-73.9918577671,22811,151,1.4312578490213888,2.4638959625071184
4550,22,2010-03-09 20:45:12+00:00,40.72343965,-73.9886553,627369,188,1.7019426226821526,3.093859408023208
4606,22,2010-03-06 07:46:42+00:00,40.7291372345,-73.9886470917,293343,152,1.7024909090565348,2.4611505060968875
4607,22,2010-03-06 07:46:32+00:00,40.7290302219,-73.9887367363,302791,152,1.6949205675906784,2.473034113533825
4608,22,2010-03-06 07:46:21+00:00,40.72923125,-73.9889466333,530561,152,1.6771836724527152,2.450710209211964
4609,22,2010-03-06 07:46:11+00:00,40.7289641326,-73.9888054132,101818,152,1.689120496185996,2.480373242618048
4610,22,2010-03-06 07:45:55+00:00,40.7295505816,-73.9888648467,464449,152,1.6840848354440243,2.4152488562580863
4611,22,2010-03-06 07:45:45+00:00,40.7292995091,-73.9889609814,469438,152,1.675969853198733,2.443130126362078
4612,22,2010-03-06 07:45:33+00:00,40.72919085,-73.9887562333,70848,152,1.6932694127489976,2.4551965757796497
4613,22,2010-03-06 07:45:19+00:00,40.7289641326,-73.9888054132,101818,152,1.689120496185996,2.480373242618048
4614,22,2010-03-06 07:45:06+00:00,40.7289057714,-73.9875949857,628089,152,1.7913776321918444,2.4868541763803305
4615,22,2010-03-06 06:20:40+00:00,40.7140371482,-73.9898514748,12482,247,1.601108008996965,4.137992897007689
4616,22,2010-03-06 06:20:26+00:00,40.714216056,-73.9903450012,492223,247,1.5594019577434794,4.11812547452124
4617,22,2010-03-06 06:20:11+00:00,40.7140371482,-73.9898514748,12482,247,1.601108008996965,4.137992897007689
4618,22,2010-03-06 06:19:59+00:00,40.7136089192,-73.9891897622,554344,248,1.6570318603785643,4.185547033916624
4619,22,2010-03-06 06:19:49+00:00,40.71402315,-73.9903207333,67627,247,1.5614570422218002,4.13954737450356
4620,22,2010-03-06 06:19:41+00:00,40.7141052333,-73.9891732833,574500,248,1.658411984646299,4.130432156594039
4621,22,2010-03-06 05:38:21+00:00,40.71495491,-73.98996567,442099,247,1.591436917004566,4.036076923564825
4686,22,2010-03-04 05:19:31+00:00,40.75,-73.997,223674,4,0.9965369270189588,0.1443638186449298
4687,22,2010-03-04 05:19:18+00:00,40.75,-73.997,174608,4,0.9965369270189588,0.1443638186449298
4688,22,2010-03-04 05:19:04+00:00,40.75,-73.997,606305,4,0.9965369270189588,0.1443638186449298
4689,22,2010-03-04 05:18:56+00:00,40.75,-73.997,590289,4,0.9965369270189588,0.1443638186449298
4690,22,2010-03-04 04:51:01+00:00,40.7504689667,-73.9987564,12819,4,0.8481989800964788,0.0922854965380214
4691,22,2010-03-04 03:45:24+00:00,40.7300709964,-74.0048642828,521371,133,0.3324795114545512,2.3574574749733026
4692,22,2010-03-04 03:44:53+00:00,40.7299982154,-74.0043191347,339262,133,0.3785326671852801,2.365539709922713
4693,22,2010-03-04 03:44:35+00:00,40.7304730333,-74.00451725,172532,133,0.3617937939272518,2.312811800714787
4694,22,2010-03-04 03:27:06+00:00,40.7227793289,-73.9979139443,33366,184,0.9197270408432192,3.16718711509978
4695,22,2010-03-04 03:21:00+00:00,40.72218954,-73.99643075,226005,197,1.0450464731607394,3.232682315840777
4696,22,2010-03-04 03:20:44+00:00,40.7227715926,-73.9980943053,631553,184,0.9044890379213436,3.168046220023202
4697,22,2010-03-04 03:20:33+00:00,40.7230653,-73.9979214333,76345,184,0.9190903861849782,3.135430437370444
4698,22,2010-03-04 03:20:19+00:00,40.7221283833,-73.99686905,588944,196,1.0080165435782382,3.239473678168968
4699,22,2010-03-04 03:20:08+00:00,40.72237122,-73.99650418,236996,185,1.038839734581595,3.212507016427031
4700,22,2010-03-04 03:19:55+00:00,40.7221954478,-73.9967273208,360301,197,1.019989870408148,3.2320262632649244
4701,22,2010-03-04 03:19:45+00:00,40.722558299,-73.9978355394,46599,184,0.9263542773254956,3.191732165260033
4702,22,2010-03-04 03:19:36+00:00,40.7221607051,-73.9974153042,163887,196,0.9618644080769988,3.2358843894344003
4703,22,2010-03-04 03:19:24+00:00,40.72229599,-73.99702954,546229,196,0.9944546447678368,3.220861198445132
4704,22,2010-03-04 03:19:13+00:00,40.7223355255,-73.9969271421,381947,196,1.0031053755796642,3.21647083871974
4705,22,2010-03-04 03:19:04+00:00,40.72237312,-73.99704051,303045,184,0.9935266719817726,3.21229602419106
4706,22,2010-03-04 01:15:03+00:00,40.7231018839,-73.9990675449,88004,184,0.8222591510916839,3.1313678479856293
4707,22,2010-03-04 01:14:22+00:00,40.7234860762,-73.9998722076,87994,183,0.7542718373000457,3.0887038450659
4708,22,2010-03-04 01:14:10+00:00,40.72457015,-74.00125771,307462,171,0.6372061958207849,2.9683189917756008
4709,22,2010-03-04 01:13:55+00:00,40.72458374,-74.00128406,274206,171,0.6349799014991245,2.966809841464584
4710,22,2010-03-04 01:13:41+00:00,40.7237542333,-74.0005976667,481355,183,0.6929780511512269,3.058925382702045
4711,22,2010-03-04 01:13:26+00:00,40.7234107333,-74.0009946,33871,183,0.659446341773643,3.0970705660847706
4712,22,2010-03-04 01:13:03+00:00,40.723472588,-74.0008550887,303363,183,0.6712324598550583,3.090201690344068
4713,22,2010-03-04 01:12:46+00:00,40.72435095,-74.0013474,315487,171,0.629630851521696,2.9926608417710243
