,uid,method,c,epsilon,meanql
0,4,OPT-SEM-IND,3,0.2,0.042482065618792975
1,4,USS,3,0.2,0.7836402554756264
2,4,ESSA,3,0.2,0.11701550798090081
3,7,OPT-SEM-IND,3,0.2,0.06273153442612124
4,7,USS,3,0.2,0.7716548728421864
5,7,ESSA,3,0.2,0.11145086663059511
6,14,OPT-SEM-IND,3,0.2,0.01993265993265994
7,14,USS,3,0.2,0.9204875594015888
8,14,ESSA,3,0.2,0.10711933989861712
9,22,OPT-SEM-IND,3,0.2,0.010855152421670549
10,22,USS,3,0.2,0.603830945615379
11,22,ESSA,3,0.2,0.0809033800615598
12,25,OPT-SEM-IND,3,0.2,0.017396664794245502
13,25,USS,3,0.2,1.055402656049995
14,25,ESSA,3,0.2,0.13117667569646926
15,35,OPT-SEM-IND,3,0.2,0.06762253027202594
16,35,USS,3,0.2,0.8021522818906994
17,35,ESSA,3,0.2,0.11980573946681408
18,36,OPT-SEM-IND,3,0.2,0.13506508776870885
19,36,USS,3,0.2,0.6890725878973223
20,36,ESSA,3,0.2,0.15925208638127453
21,38,OPT-SEM-IND,3,0.2,0.024667066256856926
22,38,USS,3,0.2,0.5827949278002557
23,38,ESSA,3,0.2,0.09585779501411094
24,43,OPT-SEM-IND,3,0.2,0.023021582733812957
25,43,USS,3,0.2,0.6848421072038078
26,43,ESSA,3,0.2,0.0938400753928856
27,44,OPT-SEM-IND,3,0.2,0.013848039215686283
28,44,USS,3,0.2,0.5653156621101966
29,44,ESSA,3,0.2,0.07621472520040683
30,52,OPT-SEM-IND,3,0.2,0.012497048150416445
31,52,USS,3,0.2,1.1448990577219873
32,52,ESSA,3,0.2,0.1427934531582429
33,62,OPT-SEM-IND,3,0.2,0.022350517238402926
34,62,USS,3,0.2,1.1013411965295412
35,62,ESSA,3,0.2,0.1400707668997305
36,65,OPT-SEM-IND,3,0.2,0.06130773177785166
37,65,USS,3,0.2,0.7288727880160185
38,65,ESSA,3,0.2,0.12364376680322872
39,67,OPT-SEM-IND,3,0.2,0.11263805766065937
40,67,USS,3,0.2,0.6199231354257713
41,67,ESSA,3,0.2,0.14597680489241838
42,71,OPT-SEM-IND,3,0.2,0.10220907175892861
43,71,USS,3,0.2,0.7297661590611988
44,71,ESSA,3,0.2,0.15525558336657388
45,84,OPT-SEM-IND,3,0.2,0.015179760319573913
46,84,USS,3,0.2,0.7454770547382407
47,84,ESSA,3,0.2,0.097214045145771
48,85,OPT-SEM-IND,3,0.2,0.009228070513341475
49,85,USS,3,0.2,0.7421297677295594
50,85,ESSA,3,0.2,0.0848839887337267
51,128,OPT-SEM-IND,3,0.2,0.0040030792917628965
52,128,USS,3,0.2,0.6918085662205906
53,128,ESSA,3,0.2,0.0825350106468204
54,4,OPT-SEM-IND,3,0.6000000000000001,0.042482065618792975
55,4,ESSA,3,0.6000000000000001,0.11736349931636036
56,7,OPT-SEM-IND,3,0.6000000000000001,0.06273153442612124
57,7,ESSA,3,0.6000000000000001,0.11178479962749463
58,14,OPT-SEM-IND,3,0.6000000000000001,0.01993265993265994
59,14,ESSA,3,0.6000000000000001,0.1076428235611732
60,22,OPT-SEM-IND,3,0.6000000000000001,0.010855152421670549
61,22,ESSA,3,0.6000000000000001,0.08139334917275516
62,25,OPT-SEM-IND,3,0.6000000000000001,0.017396664794245502
63,25,ESSA,3,0.6000000000000001,0.13178187211514095
64,35,OPT-SEM-IND,3,0.6000000000000001,0.06762253027202594
65,35,ESSA,3,0.6000000000000001,0.12024826491091986
66,36,OPT-SEM-IND,3,0.6000000000000001,0.13506508776870885
67,36,ESSA,3,0.6000000000000001,0.15942807550999016
68,38,OPT-SEM-IND,3,0.6000000000000001,0.024667066256856926
69,38,ESSA,3,0.6000000000000001,0.09631738346267896
70,43,OPT-SEM-IND,3,0.6000000000000001,0.023021582733812957
71,43,ESSA,3,0.6000000000000001,0.09407768629298716
72,44,OPT-SEM-IND,3,0.6000000000000001,0.013848039215686283
73,44,ESSA,3,0.6000000000000001,0.07668564483113817
74,52,OPT-SEM-IND,3,0.6000000000000001,0.012497048150416445
75,52,ESSA,3,0.6000000000000001,0.14332852775781021
76,62,OPT-SEM-IND,3,0.6000000000000001,0.022350517238402926
77,62,ESSA,3,0.6000000000000001,0.140660512336715
78,65,OPT-SEM-IND,3,0.6000000000000001,0.06130773177785166
79,65,ESSA,3,0.6000000000000001,0.12397209142509587
80,67,OPT-SEM-IND,3,0.6000000000000001,0.09411664202803685
81,67,ESSA,3,0.6000000000000001,0.14611142620804607
82,71,OPT-SEM-IND,3,0.6000000000000001,0.08510267004546286
83,71,ESSA,3,0.6000000000000001,0.15561808111318506
84,84,OPT-SEM-IND,3,0.6000000000000001,0.015179760319573913
85,84,ESSA,3,0.6000000000000001,0.09786423261122495
86,85,OPT-SEM-IND,3,0.6000000000000001,0.009228070513341475
87,85,ESSA,3,0.6000000000000001,0.08545214277899056
88,128,OPT-SEM-IND,3,0.6000000000000001,0.0040030792917628965
89,128,ESSA,3,0.6000000000000001,0.08316032754832059
90,4,OPT-SEM-IND,3,1.0000000000000002,0.042482065618792975
91,4,ESSA,3,1.0000000000000002,0.11758863369470134
92,7,OPT-SEM-IND,3,1.0000000000000002,0.06273153442612124
93,7,ESSA,3,1.0000000000000002,0.11207801152685132
94,14,OPT-SEM-IND,3,1.0000000000000002,0.01993265993265994
95,14,ESSA,3,1.0000000000000002,0.1082221884571768
96,22,OPT-SEM-IND,3,1.0000000000000002,0.010855152421670549
97,22,ESSA,3,1.0000000000000002,0.08182790664718027
98,25,OPT-SEM-IND,3,1.0000000000000002,0.017396664794245502
99,25,ESSA,3,1.0000000000000002,0.13249731948799762
100,35,OPT-SEM-IND,3,1.0000000000000002,0.06762253027202594
101,35,ESSA,3,1.0000000000000002,0.12068667831227971
102,36,OPT-SEM-IND,3,1.0000000000000002,0.12596554558729647
103,36,ESSA,3,1.0000000000000002,0.1595253655826572
104,38,OPT-SEM-IND,3,1.0000000000000002,0.024667066256856926
105,38,ESSA,3,1.0000000000000002,0.09674268710277219
106,43,OPT-SEM-IND,3,1.0000000000000002,0.023021582733812957
107,43,ESSA,3,1.0000000000000002,0.09427166017943278
108,44,OPT-SEM-IND,3,1.0000000000000002,0.013848039215686283
109,44,ESSA,3,1.0000000000000002,0.0771583506345289
110,52,OPT-SEM-IND,3,1.0000000000000002,0.012497048150416445
111,52,ESSA,3,1.0000000000000002,0.14391071374278905
112,62,OPT-SEM-IND,3,1.0000000000000002,0.022350517238402926
113,62,ESSA,3,1.0000000000000002,0.14116596257192685
114,65,OPT-SEM-IND,3,1.0000000000000002,0.06130773177785166
115,65,ESSA,3,1.0000000000000002,0.124361336659697
116,67,OPT-SEM-IND,3,1.0000000000000002,0.07815369066294486
117,67,ESSA,3,1.0000000000000002,0.14628253080786738
118,71,OPT-SEM-IND,3,1.0000000000000002,0.0690561615441949
119,71,ESSA,3,1.0000000000000002,0.1558013358735271
120,84,OPT-SEM-IND,3,1.0000000000000002,0.015179760319573913
121,84,ESSA,3,1.0000000000000002,0.09865400482489432
122,85,OPT-SEM-IND,3,1.0000000000000002,0.009228070513341475
123,85,ESSA,3,1.0000000000000002,0.08603633147165463
124,128,OPT-SEM-IND,3,1.0000000000000002,0.0040030792917628965
125,128,ESSA,3,1.0000000000000002,0.08375773190554527
126,4,OPT-SEM-IND,3,1.4000000000000001,0.042482065618792975
127,4,ESSA,3,1.4000000000000001,0.11780106332672721
128,7,OPT-SEM-IND,3,1.4000000000000001,0.06273153442612124
