,uid,method,ndim,mean_ql
0,4,PL,1,1.6649378142252023
1,4,OPT-LOC-DP,1,1.008216886434911
2,4,OPT-SEM-IND,1,0.3140311575509888
3,4,USS,1,0.9011302108700385
4,4,ESSA,1,0.5384835434131866
5,7,PL,1,1.6815854426056875
6,7,OPT-LOC-DP,1,0.49803406874100026
7,7,OPT-SEM-IND,1,0.2590525645427497
8,7,USS,1,1.0241743562601824
9,7,ESSA,1,0.5193779535636127
10,14,PL,1,1.709836019735289
11,14,OPT-LOC-DP,1,0.9500318225768171
12,14,OPT-SEM-IND,1,0.2640555746949267
13,14,USS,1,0.8253039210812154
14,14,ESSA,1,0.5238968353132177
15,22,PL,1,1.557698534011057
16,22,OPT-LOC-DP,1,0.7655519838114785
17,22,OPT-SEM-IND,1,0.21966157717527504
18,22,USS,1,0.8677375898929341
19,22,ESSA,1,0.48643659713354603
20,25,PL,1,1.847589839610122
21,25,OPT-LOC-DP,1,1.330727923047516
22,25,OPT-SEM-IND,1,0.23787550487805004
23,25,USS,1,0.903903280864434
24,25,ESSA,1,0.6239022781779444
25,35,PL,1,1.6460371354163814
26,35,OPT-LOC-DP,1,0.8730725873229485
27,35,OPT-SEM-IND,1,0.27920287084420853
28,35,USS,1,0.7292980085084376
29,35,ESSA,1,0.5094060112674833
30,36,PL,1,1.6268402240067419
31,36,OPT-LOC-DP,1,0.4283976913587787
32,36,OPT-SEM-IND,1,0.23885308511180636
33,36,USS,1,0.9940005002889348
34,36,ESSA,1,0.5297393799712302
35,38,PL,1,1.5733491260299661
36,38,OPT-LOC-DP,1,0.41829385319351753
37,38,OPT-SEM-IND,1,0.20748125469585754
38,38,USS,1,0.7553505000338175
39,38,ESSA,1,0.5042993118643686
40,43,PL,1,1.6188582134907024
41,43,OPT-LOC-DP,1,1.2819462427333879
42,43,OPT-SEM-IND,1,0.24602485378309924
43,43,USS,1,1.1565076637751874
44,43,ESSA,1,0.5293908843800194
45,44,PL,1,1.5422674319552812
46,44,OPT-LOC-DP,1,0.368111989000944
47,44,OPT-SEM-IND,1,0.18793427080432362
48,44,USS,1,0.8278206917684858
49,44,ESSA,1,0.4818641055255493
50,4,PL,2,1.6649378142252023
51,4,OPT-LOC-DP,2,1.008216886434911
52,4,OPT-SEM-IND,2,0.3821238597322662
53,4,USS,2,1.398171785057085
54,4,ESSA,2,0.6413268185628684
55,7,PL,2,1.6815854426056875
56,7,OPT-LOC-DP,2,0.49803406874100026
57,7,OPT-SEM-IND,2,0.30645449594569996
58,7,USS,2,1.5452356973793009
59,7,ESSA,2,0.689849835668604
60,14,PL,2,1.709836019735289
61,14,OPT-LOC-DP,2,0.949539883741423
62,14,OPT-SEM-IND,2,0.36486846198934875
63,14,USS,2,1.3226020358810338
64,14,ESSA,2,0.6638198169402054
65,22,PL,2,1.557698534011057
66,22,OPT-LOC-DP,2,0.7655519838114785
67,22,OPT-SEM-IND,2,0.3021977657861326
68,22,USS,2,1.2058181253717206
69,22,ESSA,2,0.5822725531138424
70,25,PL,2,1.846251727684226
71,25,OPT-LOC-DP,2,1.330727923047516
72,25,OPT-SEM-IND,2,0.3980447183954982
73,25,USS,2,1.614373588030151
74,25,ESSA,2,0.7658207935288107
75,35,PL,2,1.6460371354163814
76,35,OPT-LOC-DP,2,0.8730725873229485
77,35,OPT-SEM-IND,2,0.3940878606915765
78,35,USS,2,1.2522455497310998
79,35,ESSA,2,0.627036300243461
80,36,PL,2,1.6268402240067419
81,36,OPT-LOC-DP,2,0.4283976913587787
82,36,OPT-SEM-IND,2,0.2767903819588489
83,36,USS,2,1.467011390176
84,36,ESSA,2,0.6675081694925922
85,38,PL,2,1.5733491260299661
86,38,OPT-LOC-DP,2,0.41829385319351753
87,38,OPT-SEM-IND,2,0.2725115680970398
88,38,USS,2,1.191779433609738
89,38,ESSA,2,0.5860326134124185
90,43,PL,2,1.6188582134907024
91,43,OPT-LOC-DP,2,1.2819462427333879
92,43,OPT-SEM-IND,2,0.32383575364704426
93,43,USS,2,1.416845392175573
94,43,ESSA,2,0.6142237138408454
95,44,PL,2,1.5422674319552812
96,44,OPT-LOC-DP,2,0.368111989000944
97,44,OPT-SEM-IND,2,0.2756860361275405
98,44,USS,2,1.1601277903461387
99,44,ESSA,2,0.5851453884571068
100,4,PL,3,1.6649378142252023
101,4,OPT-LOC-DP,3,1.008216886434911
102,4,OPT-SEM-IND,3,0.48118997311645295
103,4,USS,3,1.9570399957677693
104,4,ESSA,3,0.8662187740775518
105,7,PL,3,1.6815854426056875
106,7,OPT-LOC-DP,3,0.49803406874100026
107,7,OPT-SEM-IND,3,0.3545789642763358
108,7,USS,3,1.9572487546107242
109,7,ESSA,3,0.8946318128762661
110,14,PL,3,1.709836019735289
111,14,OPT-LOC-DP,3,0.949539883741423
112,14,OPT-SEM-IND,3,0.4947212016511723
113,14,USS,3,1.6768103902366327
114,14,ESSA,3,0.9073475190071724
115,22,PL,3,1.557698534011057
116,22,OPT-LOC-DP,3,0.7655519838114785
117,22,OPT-SEM-IND,3,0.3647899016457684
118,22,USS,3,1.6043820479123063
119,22,ESSA,3,0.7504299560295499
120,25,PL,3,1.847589839610122
121,25,OPT-LOC-DP,3,1.330727923047516
122,25,OPT-SEM-IND,3,0.523552743051699
123,25,USS,3,2.0569326337363205
124,25,ESSA,3,0.9974709399503373
125,35,PL,3,1.6460371354163814
126,35,OPT-LOC-DP,3,0.8730725873229485
127,35,OPT-SEM-IND,3,0.4824410176384481
128,35,USS,3,1.6253783755189313
129,35,ESSA,3,0.8374728493456215
130,36,PL,3,1.6268402240067419
131,36,OPT-LOC-DP,3,0.4283976913587787
132,36,OPT-SEM-IND,3,0.33029364359368435
133,36,USS,3,1.8637756453116177
134,36,ESSA,3,0.8531503709704229
135,38,PL,3,1.5733491260299661
136,38,OPT-LOC-DP,3,0.41829385319351753
137,38,OPT-SEM-IND,3,0.35614189536606455
138,38,USS,3,1.705380610177457
139,38,ESSA,3,0.7771277704134264
140,43,PL,3,1.6188582134907024
141,43,OPT-LOC-DP,3,1.2819462427333879
142,43,OPT-SEM-IND,3,0.4170324776839826
143,43,USS,3,2.059537710657987
144,43,ESSA,3,0.8281367775715918
145,44,PL,3,1.5422674319552812
146,44,OPT-LOC-DP,3,0.368111989000944
147,44,OPT-SEM-IND,3,0.3225318157090087
148,44,USS,3,1.4834473154253633
149,44,ESSA,3,0.7360506398456935
150,4,PL,4,1.6649378142252023
151,4,OPT-LOC-DP,4,1.008216886434911
152,4,OPT-SEM-IND,4,0.4940233069647415
153,4,USS,4,1.8243183743149591
154,4,ESSA,4,0.8932243419521649
155,7,PL,4,1.6815854426056875
156,7,OPT-LOC-DP,4,0.49803406874100026
157,7,OPT-SEM-IND,4,0.362266879646713
158,7,USS,4,2.032896214864337
159,7,ESSA,4,0.9011520954654623
160,14,PL,4,1.709836019735289
161,14,OPT-LOC-DP,4,0.949539883741423
162,14,OPT-SEM-IND,4,0.5046866009947157
163,14,USS,4,1.7890260480781852
164,14,ESSA,4,0.9278316021658078
165,22,PL,4,1.557698534011057
166,22,OPT-LOC-DP,4,0.7655519838114785
167,22,OPT-SEM-IND,4,0.37432166335353906
168,22,USS,4,1.5594721581694442
169,22,ESSA,4,0.7659779633526205
170,25,PL,4,1.847589839610122
171,25,OPT-LOC-DP,4,1.330727923047516
172,25,OPT-SEM-IND,4,0.5324489862026573
173,25,USS,4,2.151090063324372
174,25,ESSA,4,1.0290450152289063
175,35,PL,4,1.6460371354163814
176,35,OPT-LOC-DP,4,0.8730725873229485
177,35,OPT-SEM-IND,4,0.48831330741629836
178,35,USS,4,1.7112704413368494
179,35,ESSA,4,0.8487217209123882
180,36,PL,4,1.6268402240067419
181,36,OPT-LOC-DP,4,0.4283976913587787
182,36,OPT-SEM-IND,4,0.3378579329104996
183,36,USS,4,1.9225300306813773
184,36,ESSA,4,0.8633018766310552
185,38,PL,4,1.5733491260299661
186,38,OPT-LOC-DP,4,0.41829385319351753
187,38,OPT-SEM-IND,4,0.36252879445500885
188,38,USS,4,1.4958319692427604
189,38,ESSA,4,0.8028335278990081
190,43,PL,4,1.6188582134907024
191,43,OPT-LOC-DP,4,1.2819462427333879
192,43,OPT-SEM-IND,4,0.42524541127010695
193,43,USS,4,1.8997795667232127
194,43,ESSA,4,0.8431408991838083
195,44,PL,4,1.5422674319552812
196,44,OPT-LOC-DP,4,0.368111989000944
197,44,OPT-SEM-IND,4,0.32758148777814455
198,44,USS,4,1.4585594365475554
199,44,ESSA,4,0.7516213229869422
200,4,PL,5,1.6649378142252023
201,4,OPT-LOC-DP,5,1.008216886434911
202,4,OPT-SEM-IND,5,0.49391946684820454
203,4,USS,5,2.9185733212874037
204,4,ESSA,5,0.9044949680467579
205,7,PL,5,1.6815854426056875
206,7,OPT-LOC-DP,5,0.49803406874100026
207,7,OPT-SEM-IND,5,0.3622696770231967
208,7,USS,5,2.4275360541030233
209,7,ESSA,5,0.9067592356786546
210,14,PL,5,1.709836019735289
211,14,OPT-LOC-DP,5,0.949539883741423
212,14,OPT-SEM-IND,5,0.5046404720702098
213,14,USS,5,2.6076432175496462
214,14,ESSA,5,0.9351168250662556
215,22,PL,5,1.557698534011057
216,22,OPT-LOC-DP,5,0.7655519838114785
217,22,OPT-SEM-IND,5,0.37432795701457217
218,22,USS,5,2.124474181842397
219,22,ESSA,5,0.7720204582483603
220,25,PL,5,1.847589839610122
221,25,OPT-LOC-DP,5,1.330727923047516
222,25,OPT-SEM-IND,5,0.532428397652642
223,25,USS,5,3.1970153479941392
224,25,ESSA,5,1.0390213272446542
225,35,PL,5,1.6460371354163814
226,35,OPT-LOC-DP,5,0.8730725873229485
227,35,OPT-SEM-IND,5,0.4882234352409387
228,35,USS,5,2.671174615261632
229,35,ESSA,5,0.8569671935558357
230,36,PL,5,1.6268402240067419
231,36,OPT-LOC-DP,5,0.4283976913587787
232,36,OPT-SEM-IND,5,0.33801180448423956
233,36,USS,5,2.275715885327083
234,36,ESSA,5,0.8696608219755358
235,38,PL,5,1.5733491260299661
236,38,OPT-LOC-DP,5,0.41829385319351753
237,38,OPT-SEM-IND,5,0.3625321801248151
238,38,USS,5,2.69199695903455
239,38,ESSA,5,0.8133059207696532
240,43,PL,5,1.6188582134907024
241,43,OPT-LOC-DP,5,1.2819462427333879
242,43,OPT-SEM-IND,5,0.42536597255859104
243,43,USS,5,2.5203833979486623
244,43,ESSA,5,0.8531791913484774
245,44,PL,5,1.5422674319552812
246,44,OPT-LOC-DP,5,0.368111989000944
247,44,OPT-SEM-IND,5,0.3272970238710953
248,44,USS,5,1.9622947552295127
249,44,ESSA,5,0.7570524964010641
