id,uid,method,ndims,t
0,4,PL,1,0.162098
1,4,OPT-GEO-IND,1,409.77687
2,4,OPT-SEM-IND,1,6.052016
3,4,USS,1,0.177299
4,4,ESS,1,0.796415
5,4,PL,2,0.160721
6,4,OPT-GEO-IND,2,415.379619
7,4,OPT-SEM-IND,2,10.191829
8,4,USS,2,0.362206
9,4,ESS,2,2.137654
10,4,PL,3,0.159451
11,4,OPT-GEO-IND,3,456.777116
12,4,OPT-SEM-IND,3,22.644231
13,4,USS,3,0.748832
14,4,ESS,3,3.654465
15,4,PL,4,0.116383
16,4,OPT-GEO-IND,4,414.477882
17,4,OPT-SEM-IND,4,32.388766
18,4,USS,4,0.836769
19,4,ESS,4,4.464975
20,4,PL,5,0.116508
21,4,OPT-GEO-IND,5,437.962416
22,4,OPT-SEM-IND,5,34.951275
23,4,USS,5,1.223916
24,4,ESS,5,5.460452
