,uid,method,x_size,t
0,4,PL,100,0.1175224781036377
1,4,OPT-GEO-IND,100,3.8998703956604004
2,4,OPT-SEM-IND,100,0.20794081687927246
3,4,USS,100,0.10464882850646973
4,4,ESS,100,0.27911949157714844
5,4,PL,200,0.12021017074584961
6,4,OPT-GEO-IND,200,20.21814203262329
7,4,OPT-SEM-IND,200,0.6605277061462402
8,4,USS,200,0.1274557113647461
9,4,ESS,200,0.5105407238006592
10,4,PL,300,0.16067147254943848
11,4,OPT-GEO-IND,300,77.73963928222656
12,4,OPT-SEM-IND,300,1.2951767444610596
13,4,USS,300,0.09464025497436523
14,4,ESS,300,0.36566781997680664
15,4,PL,400,0.1131584644317627
16,4,OPT-GEO-IND,400,197.8956756591797
17,4,OPT-SEM-IND,400,2.229996681213379
18,4,USS,400,0.13943099975585938
19,4,ESS,400,0.6958751678466797
20,4,PL,500,0.1573801040649414
21,4,OPT-GEO-IND,500,311.2954046726227
22,4,OPT-SEM-IND,500,3.45654296875
23,4,USS,500,0.16536259651184082
24,4,ESS,500,1.1700923442840576
