id,method,ndim,mean_ql
1,PL,1,1.751664295
2,OPT-GEO-IND,1,0.712091753
3,OPT-SEM-IND,1,0.218911992
4,USS,1,0.872343873
5,ESS,1,0.822344209
6,PL,2,1.751664295
7,OPT-GEO-IND,2,0.712091753
8,OPT-SEM-IND,2,0.29911211
9,USS,2,1.207986211
10,ESS,2,1.131238945
11,PL,3,1.751664295
12,OPT-GEO-IND,3,0.712091753
13,OPT-SEM-IND,3,0.363737889
14,USS,3,1.610606823
15,ESS,3,1.541548203
16,PL,4,1.751664295
17,OPT-GEO-IND,4,0.712091753
18,OPT-SEM-IND,4,0.372558437
19,USS,4,1.555308225
20,ESS,4,1.518296526
21,PL,5,1.751664295
22,OPT-GEO-IND,5,0.712091753
23,OPT-SEM-IND,5,0.372558098
24,USS,5,2.129375198
25,ESS,5,2.013656784
