id,method,ndim,mean_ql
1,PL,1,0.988709517
2,OPT-GEO-IND,1,0.787795123
3,OPT-SEM-IND,1,0.047903733
4,USS,1,0.499241222
5,ESS,1,0.486240517
6,PL,2,0.988709517
7,OPT-GEO-IND,2,0.787795123
8,OPT-SEM-IND,2,0.098638294
9,USS,2,0.877142757
10,ESS,2,0.737264319
11,PL,3,0.988709517
12,OPT-GEO-IND,3,0.787795123
13,OPT-SEM-IND,3,0.239777089
14,USS,3,0.89540134
15,ESS,3,0.866533674
16,PL,4,0.988709517
17,OPT-GEO-IND,4,0.787795123
18,OPT-SEM-IND,4,0.437361514
19,USS,4,1.023904257
20,ESS,4,0.97602433
21,PL,5,0.988709517
22,OPT-GEO-IND,5,0.787795123
23,OPT-SEM-IND,5,0.460187249
24,USS,5,1.033081512
25,ESS,5,1.005525081
